    ,name                  ,class_name  ,input_shape          ,output_shape         ,nb_params
87  ,layer3.0.downsample.0 ,Conv2d      ,"(-1, 512, 28, 28)"  ,"(-1, 1024, 14, 14)" ,tensor(524288)
88  ,layer3.0.downsample.1 ,BatchNorm2d ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(2048)
89  ,layer3.0.relu         ,ReLU        ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,0
90  ,layer3.0              ,Bottleneck  ,"(-1, 512, 28, 28)"  ,"(-1, 1024, 14, 14)" ,tensor(1512448)
91  ,layer3.1.conv1        ,Conv2d      ,"(-1, 1024, 14, 14)" ,"(-1, 256, 14, 14)"  ,tensor(262144)
92  ,layer3.1.bn1          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
93  ,layer3.1.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
94  ,layer3.1.conv2        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(589824)
95  ,layer3.1.bn2          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
96  ,layer3.1.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
97  ,layer3.1.conv3        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 1024, 14, 14)" ,tensor(262144)
98  ,layer3.1.bn3          ,BatchNorm2d ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(2048)
99  ,layer3.1.relu         ,ReLU        ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,0
100 ,layer3.1              ,Bottleneck  ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(1117184)
101 ,layer3.2.conv1        ,Conv2d      ,"(-1, 1024, 14, 14)" ,"(-1, 256, 14, 14)"  ,tensor(262144)
102 ,layer3.2.bn1          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
103 ,layer3.2.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
104 ,layer3.2.conv2        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(589824)
105 ,layer3.2.bn2          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
106 ,layer3.2.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
107 ,layer3.2.conv3        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 1024, 14, 14)" ,tensor(262144)
108 ,layer3.2.bn3          ,BatchNorm2d ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(2048)
109 ,layer3.2.relu         ,ReLU        ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,0
110 ,layer3.2              ,Bottleneck  ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(1117184)
111 ,layer3.3.conv1        ,Conv2d      ,"(-1, 1024, 14, 14)" ,"(-1, 256, 14, 14)"  ,tensor(262144)
112 ,layer3.3.bn1          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
113 ,layer3.3.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
114 ,layer3.3.conv2        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(589824)
115 ,layer3.3.bn2          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
116 ,layer3.3.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
