    ,name                                      ,class_name              ,input_shape          ,output_shape         ,nb_params
101 ,_blocks.7._bn0                            ,BatchNorm2d             ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(960)
102 ,_blocks.7._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 480, 14, 14)"  ,"(-1, 480, 16, 16)"  ,0
103 ,_blocks.7._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(4320)
104 ,_blocks.7._bn1                            ,BatchNorm2d             ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(960)
105 ,_blocks.7._se_reduce.static_padding       ,Identity                ,"(-1, 480, 1, 1)"    ,"(-1, 480, 1, 1)"    ,0
106 ,_blocks.7._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 480, 1, 1)"    ,"(-1, 20, 1, 1)"     ,tensor(9620)
107 ,_blocks.7._se_expand.static_padding       ,Identity                ,"(-1, 20, 1, 1)"     ,"(-1, 20, 1, 1)"     ,0
108 ,_blocks.7._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 20, 1, 1)"     ,"(-1, 480, 1, 1)"    ,tensor(10080)
109 ,_blocks.7._project_conv.static_padding    ,Identity                ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,0
110 ,_blocks.7._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 480, 14, 14)"  ,"(-1, 80, 14, 14)"   ,tensor(38400)
111 ,_blocks.7._bn2                            ,BatchNorm2d             ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(160)
112 ,_blocks.7                                 ,MBConvBlock             ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(102900)
113 ,_blocks.8._expand_conv.static_padding     ,Identity                ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,0
114 ,_blocks.8._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 80, 14, 14)"   ,"(-1, 480, 14, 14)"  ,tensor(38400)
115 ,_blocks.8._bn0                            ,BatchNorm2d             ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(960)
