    ,name                           ,class_name   ,input_shape          ,output_shape         ,nb_params
64  ,block.5.squeeze_block.dense.0  ,Linear       ,"(-1, 120)"          ,"(-1, 30)"           ,tensor(3630)
65  ,block.5.squeeze_block.dense.1  ,ReLU         ,"(-1, 30)"           ,"(-1, 30)"           ,0
66  ,block.5.squeeze_block.dense.2  ,Linear       ,"(-1, 30)"           ,"(-1, 120)"          ,tensor(3720)
67  ,block.5.squeeze_block.dense.3  ,h_sigmoid    ,"(-1, 120)"          ,"(-1, 120)"          ,0
68  ,block.5.squeeze_block          ,SqueezeBlock ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,tensor(7350)
69  ,block.5.point_conv.0           ,Conv2d       ,"(-1, 120, 28, 28)"  ,"(-1, 40, 28, 28)"   ,tensor(4840)
70  ,block.5.point_conv.1           ,BatchNorm2d  ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,tensor(80)
71  ,block.5.point_conv.2           ,ReLU         ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,0
72  ,block.5                        ,MobileBlock  ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,tensor(20670)
73  ,block.6.conv.0                 ,Conv2d       ,"(-1, 40, 28, 28)"   ,"(-1, 240, 28, 28)"  ,tensor(9600)
74  ,block.6.conv.1                 ,BatchNorm2d  ,"(-1, 240, 28, 28)"  ,"(-1, 240, 28, 28)"  ,tensor(480)
75  ,block.6.conv.2                 ,h_swish      ,"(-1, 240, 28, 28)"  ,"(-1, 240, 28, 28)"  ,0
76  ,block.6.depth_conv.0           ,Conv2d       ,"(-1, 240, 28, 28)"  ,"(-1, 240, 14, 14)"  ,tensor(2400)
77  ,block.6.depth_conv.1           ,BatchNorm2d  ,"(-1, 240, 14, 14)"  ,"(-1, 240, 14, 14)"  ,tensor(480)
78  ,block.6.point_conv.0           ,Conv2d       ,"(-1, 240, 14, 14)"  ,"(-1, 80, 14, 14)"   ,tensor(19280)
79  ,block.6.point_conv.1           ,BatchNorm2d  ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(160)
80  ,block.6.point_conv.2           ,h_swish      ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,0
81  ,block.6                        ,MobileBlock  ,"(-1, 40, 28, 28)"   ,"(-1, 80, 14, 14)"   ,tensor(32400)
82  ,block.7.conv.0                 ,Conv2d       ,"(-1, 80, 14, 14)"   ,"(-1, 200, 14, 14)"  ,tensor(16000)
83  ,block.7.conv.1                 ,BatchNorm2d  ,"(-1, 200, 14, 14)"  ,"(-1, 200, 14, 14)"  ,tensor(400)
84  ,block.7.conv.2                 ,h_swish      ,"(-1, 200, 14, 14)"  ,"(-1, 200, 14, 14)"  ,0
85  ,block.7.depth_conv.0           ,Conv2d       ,"(-1, 200, 14, 14)"  ,"(-1, 200, 14, 14)"  ,tensor(2000)
86  ,block.7.depth_conv.1           ,BatchNorm2d  ,"(-1, 200, 14, 14)"  ,"(-1, 200, 14, 14)"  ,tensor(400)
87  ,block.7.point_conv.0           ,Conv2d       ,"(-1, 200, 14, 14)"  ,"(-1, 80, 14, 14)"   ,tensor(16080)
88  ,block.7.point_conv.1           ,BatchNorm2d  ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(160)
89  ,block.7.point_conv.2           ,h_swish      ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,0
90  ,block.7                        ,MobileBlock  ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(35040)
91  ,block.8.conv.0                 ,Conv2d       ,"(-1, 80, 14, 14)"   ,"(-1, 184, 14, 14)"  ,tensor(14720)
92  ,block.8.conv.1                 ,BatchNorm2d  ,"(-1, 184, 14, 14)"  ,"(-1, 184, 14, 14)"  ,tensor(368)
93  ,block.8.conv.2                 ,h_swish      ,"(-1, 184, 14, 14)"  ,"(-1, 184, 14, 14)"  ,0
94  ,block.8.depth_conv.0           ,Conv2d       ,"(-1, 184, 14, 14)"  ,"(-1, 184, 14, 14)"  ,tensor(1840)
95  ,block.8.depth_conv.1           ,BatchNorm2d  ,"(-1, 184, 14, 14)"  ,"(-1, 184, 14, 14)"  ,tensor(368)
96  ,block.8.point_conv.0           ,Conv2d       ,"(-1, 184, 14, 14)"  ,"(-1, 80, 14, 14)"   ,tensor(14800)
97  ,block.8.point_conv.1           ,BatchNorm2d  ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(160)
98  ,block.8.point_conv.2           ,h_swish      ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,0
99  ,block.8                        ,MobileBlock  ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(32256)
100 ,block.9.conv.0                 ,Conv2d       ,"(-1, 80, 14, 14)"   ,"(-1, 184, 14, 14)"  ,tensor(14720)
101 ,block.9.conv.1                 ,BatchNorm2d  ,"(-1, 184, 14, 14)"  ,"(-1, 184, 14, 14)"  ,tensor(368)
102 ,block.9.conv.2                 ,h_swish      ,"(-1, 184, 14, 14)"  ,"(-1, 184, 14, 14)"  ,0
